instrument,instrument_name
SH510190,华安上证50ETF
SH510200,汇安上证证券ETF
SH510210,上证综指ETF
SH510230,国泰上证180金融ETF
SH510270,中银上证国企100ETF
SH510290,南方上证380ETF
SH510300,华泰柏瑞沪深300ETF
SH510310,易方达沪深300ETF
SH510320,中金沪深300ETF
SH510330,华夏沪深300ETF
SH510350,工银沪深300ETF
SH510360,广发沪深300ETF
SH510370,兴业沪深300ETF
SH510380,国寿安保沪深300ETF
SH510390,平安沪深300ETF
SH510410,博时上证自然资源ETF
SH510500,南方中证500ETF
SH510510,广发中证500ETF
SH510530,工银中证500ETF
SH510550,方正富邦中证500ETF
SH510560,国寿安保中证500ETF
SH510570,兴业中证500ETF
SH510580,易方达中证500ETF
SH510590,平安中证500ETF
SH510600,申万菱信上证50ETF
SH510630,华夏消费ETF
SH510650,上证金融地产发起式ETF
SH510660,华夏医药ETF
SH510670,华夏上证180ETF
SH510680,万家上证50ETF
SH510710,博时上证50ETF
SH510720,国泰上证国有企业红利ETF
SH510760,国泰上证综合交易ETF
SH510770,申万菱信上证G60创新ETF
SH510800,建信上证50ETF
SH510810,汇添富中证上海国企ETF
SH510850,工银瑞信上证50ETF
SH510880,华泰柏瑞上证红利ETF
SH510900,易方达恒生国企(QDII-ETF)
SH510950,广发上证50ETF
SH510980,汇添富上证综合ETF
SH510990,工银瑞信中证180ESGETF
SH511010,国泰上证5年期国债ETF
SH511020,平安5-10年期国债活跃券ETF
SH511030,平安中高等级公司债利差因子ETF
SH511060,海富通上证5年期地方政府债ETF
SH511070,南方上证基准做市公司债ETF
SH511090,鹏扬中债-30年期国债ETF
SH511100,华夏上证基准做市国债ETF
SH511110,易方达上证基准做市公司债ETF
SH511120,广发上证AAA科技创新公司债ETF
SH511130,博时上证30年期国债ETF
SH511150,永赢上证AAA科技创新公司债ETF
SH511160,国债ETF东财
SH511180,海富通上证投资级可转债ETF
SH511190,海富通上证基准做市公司债ETF
SH511200,华夏上证基准做市公司债ETF
SH511220,海富通上证城投债ETF
SH511260,国泰上证10年期国债ETF
SH511270,海富通上证10年期地方政府债ETF
SH511360,海富通中证短融ETF
SH511380,博时可转债ETF
SH511520,富国中债7-10年政策性金融债ETF
SH511580,招商中证国债及政策性金融债0-3年ETF
SH511600,华安日日鑫货币H
SH511620,国泰瞬利货币A
SH511650,华夏快线货币ETFE
SH511660,建信现金添益货币H
SH511670,华泰紫金天天金货币ETFA
SH511690,大成添益交易型货币E
SH511700,平安日鑫E
SH511770,金鹰增益货币E
SH511800,易方达货币E
SH511810,南方理财金交易型货币H
SH511820,鹏华添利交易型货币B
SH511830,华泰柏瑞交易货币A
SH511850,招商财富宝交易型货币E
SH511860,博时保证金货币ETFA
SH511880,银华日利A
SH511900,富国收益宝交易型货币H
SH511910,融通易支付货币E
SH511920,广发货币E
SH511930,国联日盈A
SH511950,广发添利货币A
SH511960,嘉实快线货币H
SH511970,国寿安保货币E
SH511980,汇添富添富通货币E
SH511990,华宝添益A
SH512000,华宝中证全指证券公司ETF
SH512010,易方达沪深300医药ETF
SH512020,鹏华中证A500ETF
SH512030,易方达中证A50增强策略ETF
SH512040,富国中证价值ETF
SH512050,华夏中证A500ETF
SH512060,天弘中证A100ETF
SH512070,易方达沪深300非银ETF
SH512080,中金中证A500ETF
SH512090,易方达MSCI中国A股国际通ETF
SH512100,南方中证1000ETF
SH512120,华安中证细分医药ETF
SH512130,鹏华中证全指自由现金流ETF
SH512140,华安中证全指电力公用事业ETF
SH512150,富时中国A50ETF
SH512160,南方MSCI中国A股国际通ETF
SH512170,华宝中证医疗ETF
SH512180,建信MSCI中国A股国际通ETF
SH512190,浙商汇金中证浙江凤凰行动50ETF
SH512200,南方中证房地产ETF
SH512220,景顺长城中证科技传媒通信150ETF
SH512240,鹏华中证A50ETF
SH512250,招商中证A50ETF
SH512260,华安中证500低波ETF
SH512290,国泰中证生物医药ETF
SH512330,南方中证500信息技术ETF
SH512360,平安MSCI中国A股国际ETF
SH512370,华夏中证A500增强策略ETF
SH512380,银华MSCI中国A股ETF
SH512390,平安MSCI中国A股低波动ETF
SH512400,南方中证申万有色金属ETF
SH512430,华泰柏瑞中证家居家电ETF
SH512450,广发中证畜牧养殖产业ETF
SH512460,华夏中证电池主题ETF
SH512480,国联安半导体ETF
SH512500,华夏中证500ETF
SH512510,华泰柏瑞中证500ETF
SH512520,华泰柏瑞MSCI中国A股国际通ETF
SH512530,建信沪深300红利ETF
SH512550,嘉实富时中国A50ETF
SH512560,易方达中证军工ETF
